city,state_abbrev,city_pop
Romeoville village,IL,41177
Hobbs,NM,41061
West Fargo,ND,41027
Amherst Town,MA,40989
Florence,SC,40923
Tooele,UT,40919
Cedar City,UT,40885
Kearny,NJ,40866
Lathrop,CA,40860
Cape Girardeau,MO,40818
Lancaster,TX,40780
Peachtree City,GA,40758
Bartlett village,IL,40718
Menomonee Falls village,WI,40700
Rexburg,ID,40695
Annapolis,MD,40689
Fort Lee borough,NJ,40566
Belleville,IL,40560
Douglasville,GA,40540
Myrtle Beach,SC,40535
Aventura,FL,40531
Georgetown,KY,40518
DeKalb,IL,40491
Westfield,MA,40403
Findlay,OH,40343
New Berlin,WI,40302
Bettendorf,IA,40281
Wausau,WI,40262
Chelsea,MA,40245
Valley Stream village,NY,40232
Dover,DE,40191
Maplewood,MN,40142
Prattville,AL,40139
Germantown,TN,40128
San Luis,AZ,40064
Rancho Palos Verdes,CA,40064
Monroe,NC,40054
Lake Oswego,OR,40029
Norwich,CT,39993
La Quinta,CA,39907
Culver City,CA,39883
Urbana,IL,39831
Winter Springs,FL,39822
Parkland,FL,39700
Issaquah,WA,39664
Copperas Cove,TX,39627
Riviera Beach,FL,39620
Spartanburg,SC,39606
Richmond,KY,39581
Hutchinson,KS,39561
Carol Stream village,IL,39556
Hurst,TX,39500
Grants Pass,OR,39468
Kearns metroship,UT,39398
Weatherford,TX,39397
Woodstock,GA,39381
Garner,NC,39345
Sun Prairie,WI,39253
Duncanville,TX,39203
Keizer,OR,39152
Braintree Town,MA,39134
Syracuse,UT,38999
Atlantic City,NJ,38959
Hilliard,OH,38832
Seguin,TX,38789
Quincy,IL,38786
Pine Bluff,AR,38785
Oswego village,IL,38778
Lincoln Park,MI,38774
Lewiston,ME,38772
Rome,GA,38747
Calexico,CA,38744
Roy,UT,38719
Warren,OH,38683
Socorro,TX,38642
Westerville,OH,38612
Erie,CO,38594
Portage,IN,38576
Forney,TX,38572
Phenix City,AL,38509
Park Ridge,IL,38445
Estero village,FL,38443
Oak Creek,WI,38373
Streamwood village,IL,38360
Bartlesville,OK,38355
Wheeling village,IL,38329
Oregon City,OR,38327
Longview,WA,38294
Northglenn,CO,38287
East Point,GA,38270
Hilton Head Island,SC,38158
Vestavia Hills,AL,38151
Cleburne,TX,38131
Pleasant Grove,UT,38127
Benton,AR,38088
Canton,GA,38049
La Porte,TX,38046
Hot Springs,AR,37971
Adelanto,CA,37941
San Gabriel,CA,37926
Holyoke,MA,37838
Cibolo,TX,37816
Leesburg,FL,37815
Plainfield,IN,37796
Monrovia,CA,37787
Tupelo,MS,37775
Kennesaw,GA,37740
Wildomar,CA,37736
New Albany,IN,37652
Montclair,CA,37650
Redmond,OR,37626
Bell Gardens,CA,37565
Clovis,NM,37555
North Ridgeville,OH,37504
Sahuarita,AZ,37448
Leavenworth,KS,37370
Farmers Branch,TX,37341
San Juan,TX,37341
Lauderdale Lakes,FL,37333
Muskegon,MI,37287
Greenfield,WI,37232
Tucker,GA,37224
Carpentersville village,IL,37144
Cookeville,TN,37102
Pacifica,CA,37056
Panama City,FL,37024
Princeton,TX,37019
Martinez,CA,37006
Merrillville,IN,36989
Muskogee,OK,36849
Hanover Park village,IL,36685
La Puente,CA,36670
Beloit,WI,36633
Franklin,WI,36591
Hinesville,GA,36583
Salisbury,NC,36579
Richfield,MN,36491
Fair Lawn borough,NJ,36489
El Mirage,AZ,36468
Rock Island,IL,36434
Fort Mill,SC,36244
Inver Grove Heights,MN,36226
Midvale,UT,36219
Bluffton,SC,36146
Upper Arlington,OH,36140
Claremont,CA,36139
Norristown borough,PA,36075
Mason,OH,36046
Springville,UT,36027
Watertown,MA,35985
Texarkana,TX,35971
Dunedin,FL,35932
Stockbridge,GA,35893
Addison village,IL,35728
Torrington,CT,35673
Roseville,MN,35637
Moorpark,CA,35621
Marion,OH,35576
Richmond,IN,35561
Gahanna,OH,35544
Cooper City,FL,35541
Washington,UT,35501
Butte-Silver Bow,MT,35480
